IP ADDRESS	PORT	COUNTRY	PROTOCOLS	ANONYMITY	ORG & ASN	SPEED	UPTIME	RESPONSE	GOOGLE	LATENCY	UPDATED
241.252.105.120	64891	AO	Https	Anonymous(ANM)		Medium	36%	0ms	FALSE	16ms	0mins
8.188.250.240	50535	RE	Socks4	Anonymous(ANM)		Medium	85%	0ms	FALSE	70ms	0mins
111.234.125.253	28781	BN	Https	Elite(HIA)		Slow	7%	0ms	FALSE	91ms	0mins
4.108.8.201	806	ST	Https	Anonymous(ANM)		Medium	17%	0ms	FALSE	93ms	0mins
211.2.66.3	41721	YE	Socks4	Anonymous(ANM)		Medium	31%	0ms	FALSE	5ms	0mins
0.146.179.8	45652	TN	Socks5	Elite(HIA)		Slow	42%	0ms	FALSE	67ms	0mins
142.5.231.253	37096	BJ	Socks4	Anonymous(ANM)		Medium	46%	0ms	FALSE	54ms	0mins
82.212.255.181	14467	AL	Https	Elite(HIA)		Slow	35%	0ms	FALSE	31ms	0mins
194.8.91.0	11758	CZ	Socks5	Transparent(NOA)		Fast	98%	0ms	FALSE	40ms	0mins
4.142.254.253	44119	CF	Https	Transparent(NOA)		Fast	72%	0ms	FALSE	81ms	0mins
8.250.253.40	21883	CO	Http	Anonymous(ANM)		Medium	16%	0ms	FALSE	35ms	0mins
197.2.178.254	14634	ML	Socks5	Elite(HIA)		Slow	18%	0ms	FALSE	65ms	0mins
134.2.14.208	16117	CL	Https	Elite(HIA)		Slow	56%	0ms	FALSE	96ms	0mins
8.252.251.179	33091	HN	Socks4	Anonymous(ANM)		Medium	80%	0ms	FALSE	34ms	0mins
220.252.8.61	10650	BY	Socks5	Anonymous(ANM)		Medium	2%	0ms	FALSE	91ms	0mins
77.211.250.119	9284	FM	Socks5	Anonymous(ANM)		Medium	20%	0ms	FALSE	55ms	0mins
39.253.75.109	62667	CY	Socks4	Anonymous(ANM)		Medium	68%	0ms	FALSE	86ms	0mins
147.95.251.9	52343	GA	Https	Anonymous(ANM)		Medium	48%	0ms	FALSE	50ms	0mins
242.229.7.238	7612	CD	Socks5	Anonymous(ANM)		Medium	95%	0ms	FALSE	51ms	0mins
9.140.221.251	47811	GE	Https	Anonymous(ANM)		Medium	35%	0ms	FALSE	90ms	0mins
4.228.229.252	20002	VG	Socks4	Transparent(NOA)		Fast	37%	0ms	FALSE	40ms	0mins
254.144.44.197	35830	NF	Socks4	Transparent(NOA)		Fast	83%	0ms	FALSE	2ms	0mins
201.229.229.136	57583	CY	Socks4	Anonymous(ANM)		Medium	85%	0ms	FALSE	83ms	0mins
57.94.203.67	29961	TL	Socks4	Transparent(NOA)		Fast	56%	0ms	FALSE	63ms	0mins
82.250.152.213	19222	EG	Https	Anonymous(ANM)		Medium	67%	0ms	FALSE	87ms	0mins
253.137.145.0	25512	MU	Socks4	Anonymous(ANM)		Medium	70%	0ms	FALSE	81ms	0mins
130.242.243.228	14023	BV	Http	Anonymous(ANM)		Medium	86%	0ms	FALSE	87ms	0mins
247.251.244.9	58801	RE	Https	Anonymous(ANM)		Medium	17%	0ms	FALSE	65ms	0mins
255.197.250.100	52576	HK	Http	Anonymous(ANM)		Medium	94%	0ms	FALSE	7ms	0mins
160.247.101.230	41131	BI	Https	Anonymous(ANM)		Medium	82%	0ms	FALSE	63ms	0mins
96.150.23.183	7731	AZ	Https	Transparent(NOA)		Fast	43%	0ms	FALSE	28ms	0mins
203.6.64.252	12096	LS	Socks5	Anonymous(ANM)		Medium	62%	0ms	FALSE	10ms	0mins
167.215.250.247	40456	VE	Https	Anonymous(ANM)		Medium	5%	0ms	FALSE	55ms	0mins
178.247.237.2	6848	TJ	Http	Elite(HIA)		Slow	75%	0ms	FALSE	62ms	0mins
163.190.210.4	58143	GF	Socks5	Transparent(NOA)		Fast	48%	0ms	FALSE	63ms	0mins
2.68.251.3	30616	ES	Socks5	Transparent(NOA)		Fast	47%	0ms	FALSE	24ms	0mins
252.127.251.2	11562	PS	Socks4	Anonymous(ANM)		Medium	1%	0ms	FALSE	78ms	0mins
89.212.40.132	18301	CY	Https	Transparent(NOA)		Fast	88%	0ms	FALSE	12ms	0mins
167.242.93.5	9222	SB	Http	Anonymous(ANM)		Medium	27%	0ms	FALSE	98ms	0mins
48.205.99.252	31154	GU	Socks5	Elite(HIA)		Slow	70%	0ms	FALSE	4ms	0mins
180.234.0.230	23085	CC	Http	Transparent(NOA)		Fast	44%	0ms	FALSE	39ms	0mins
9.223.141.227	59950	FK	Http	Anonymous(ANM)		Medium	65%	0ms	FALSE	86ms	0mins
6.253.60.211	13515	KN	Http	Transparent(NOA)		Fast	98%	0ms	FALSE	89ms	0mins
21.128.255.1	21685	KW	Https	Anonymous(ANM)		Medium	28%	0ms	FALSE	83ms	0mins
220.6.19.149	3222	"ID"	Https	Anonymous(ANM)		Medium	67%	0ms	FALSE	19ms	0mins
252.231.7.19	26622	BO	Socks5	Anonymous(ANM)		Medium	75%	0ms	FALSE	54ms	0mins
252.131.38.6	20303	UA	Https	Elite(HIA)		Slow	95%	0ms	FALSE	100ms	0mins
40.254.122.243	49247	IQ	Socks5	Anonymous(ANM)		Medium	8%	0ms	FALSE	85ms	0mins
9.0.134.3	65351	OM	Socks5	Elite(HIA)		Slow	16%	0ms	FALSE	66ms	0mins
209.92.42.225	39834	NP	Https	Transparent(NOA)		Fast	74%	0ms	FALSE	24ms	0mins
61.252.250.161	40197	TZ	Socks4	Elite(HIA)		Slow	53%	0ms	FALSE	15ms	0mins
119.142.2.254	37522	LV	Socks4	Anonymous(ANM)		Medium	68%	0ms	FALSE	70ms	0mins
98.252.251.230	8419	CI	Http	Elite(HIA)		Slow	35%	0ms	FALSE	82ms	0mins
3.151.39.55	33131	IE	Socks4	Anonymous(ANM)		Medium	42%	0ms	FALSE	71ms	0mins
236.231.7.173	25447	PL	Https	Elite(HIA)		Slow	63%	0ms	FALSE	79ms	0mins
58.79.3.253	12349	JP	Socks5	Anonymous(ANM)		Medium	1%	0ms	FALSE	52ms	0mins
9.100.48.253	16776	DM	Socks5	Anonymous(ANM)		Medium	63%	0ms	FALSE	9ms	0mins
253.34.218.27	16149	DE	Socks5	Elite(HIA)		Slow	96%	0ms	FALSE	97ms	0mins
7.115.109.47	56269	YE	Http	Anonymous(ANM)		Medium	47%	0ms	FALSE	91ms	0mins
248.35.197.92	22650	SE	Socks4	Anonymous(ANM)		Medium	23%	0ms	FALSE	96ms	0mins
8.251.83.203	63561	LT	Https	Anonymous(ANM)		Medium	48%	0ms	FALSE	29ms	0mins
254.186.198.203	61965	AR	Https	Elite(HIA)		Slow	44%	0ms	FALSE	80ms	0mins
234.150.2.4	47274	MX	Https	Elite(HIA)		Slow	35%	0ms	FALSE	12ms	0mins
254.0.8.252	13709	TZ	Socks4	Transparent(NOA)		Fast	29%	0ms	FALSE	86ms	0mins
5.223.56.241	3918	KG	Http	Transparent(NOA)		Fast	12%	0ms	FALSE	20ms	0mins
56.251.202.224	63374	PL	Socks5	Anonymous(ANM)		Medium	92%	0ms	FALSE	62ms	0mins
254.252.253.238	1961	CR	Socks4	Transparent(NOA)		Fast	46%	0ms	FALSE	95ms	0mins
225.2.63.252	8623	KP	Http	Anonymous(ANM)		Medium	59%	0ms	FALSE	49ms	0mins
255.115.231.6	6334	ER	Https	Transparent(NOA)		Fast	47%	0ms	FALSE	12ms	0mins
1.17.126.9	10296	VE	Socks4	Anonymous(ANM)		Medium	62%	0ms	FALSE	58ms	0mins
77.238.47.104	58666	KY	Socks5	Elite(HIA)		Slow	29%	0ms	FALSE	30ms	0mins
203.252.123.1	49665	PE	Https	Transparent(NOA)		Fast	89%	0ms	FALSE	77ms	0mins
8.251.213.28	27527	BF	Socks4	Anonymous(ANM)		Medium	60%	0ms	FALSE	52ms	0mins
210.5.197.134	29970	XK	Socks5	Anonymous(ANM)		Medium	27%	0ms	FALSE	52ms	0mins
225.230.8.8	65007	WS	Socks4	Anonymous(ANM)		Medium	71%	0ms	FALSE	25ms	0mins
5.254.237.62	30227	GA	Socks5	Anonymous(ANM)		Medium	41%	0ms	FALSE	45ms	0mins
216.2.213.201	28565	DZ	Https	Anonymous(ANM)		Medium	91%	0ms	FALSE	66ms	0mins
132.250.251.16	14536	MA	Socks5	Anonymous(ANM)		Medium	15%	0ms	FALSE	25ms	0mins
2.4.251.254	64371	NF	Socks5	Transparent(NOA)		Fast	92%	0ms	FALSE	92ms	0mins
216.10.250.2	57149	GR	Https	Transparent(NOA)		Fast	21%	0ms	FALSE	10ms	0mins
253.253.2.64	31547	XK	Socks5	Transparent(NOA)		Fast	53%	0ms	FALSE	50ms	0mins
4.184.253.240	7125	TK	Http	Anonymous(ANM)		Medium	35%	0ms	FALSE	37ms	0mins
144.250.4.63	42391	SM	Http	Anonymous(ANM)		Medium	82%	0ms	FALSE	15ms	0mins
198.90.205.8	22633	MA	Socks5	Elite(HIA)		Slow	47%	0ms	FALSE	38ms	0mins
251.70.97.179	54468	GS	Socks4	Anonymous(ANM)		Medium	44%	0ms	FALSE	86ms	0mins
166.138.2.251	27711	CS	Socks5	Transparent(NOA)		Fast	30%	0ms	FALSE	71ms	0mins
17.231.244.252	2295	NR	Socks5	Anonymous(ANM)		Medium	41%	0ms	FALSE	22ms	0mins
86.54.119.217	52127	IE	Http	Anonymous(ANM)		Medium	40%	0ms	FALSE	63ms	0mins
148.35.242.222	7552	EG	Https	Anonymous(ANM)		Medium	72%	0ms	FALSE	79ms	0mins
210.46.9.62	4575	CV	Socks5	Transparent(NOA)		Fast	30%	0ms	FALSE	42ms	0mins
154.181.103.254	10944	KM	Http	Transparent(NOA)		Fast	7%	0ms	FALSE	33ms	0mins
202.243.22.80	19898	BI	Https	Transparent(NOA)		Fast	36%	0ms	FALSE	4ms	0mins
131.7.152.1	63967	LA	Socks4	Elite(HIA)		Slow	71%	0ms	FALSE	67ms	0mins
98.182.255.4	16866	TK	Socks4	Transparent(NOA)		Fast	63%	0ms	FALSE	83ms	0mins
241.174.238.4	44552	LI	Socks5	Transparent(NOA)		Fast	71%	0ms	FALSE	40ms	0mins
7.251.241.206	65059	FJ	Socks5	Transparent(NOA)		Fast	92%	0ms	FALSE	26ms	0mins
8.82.178.37	11021	UY	Socks5	Transparent(NOA)		Fast	95%	0ms	FALSE	41ms	0mins
3.73.255.221	35349	TV	Socks5	Elite(HIA)		Slow	71%	0ms	FALSE	85ms	0mins
251.3.252.25	64877	IM	Socks4	Anonymous(ANM)		Medium	94%	0ms	FALSE	57ms	0mins
0.241.255.252	28333	CK	Https	Anonymous(ANM)		Medium	93%	0ms	FALSE	44ms	0mins
236.42.249.216	7	LA	Http	Anonymous(ANM)		Medium	37%	0ms	FALSE	67ms	0mins
230.15.217.223	22101	MQ	Http	Transparent(NOA)		Fast	85%	0ms	FALSE	52ms	0mins
13.217.121.4	48198	GY	Socks4	Anonymous(ANM)		Medium	70%	0ms	FALSE	25ms	0mins
234.214.152.7	8843	IN	Socks5	Anonymous(ANM)		Medium	30%	0ms	FALSE	36ms	0mins
229.100.2.59	35080	NP	Https	Transparent(NOA)		Fast	52%	0ms	FALSE	82ms	0mins
23.108.168.71	9771	BW	Socks5	Elite(HIA)		Slow	24%	0ms	FALSE	7ms	0mins
208.5.239.243	42745	PW	Socks4	Anonymous(ANM)		Medium	86%	0ms	FALSE	78ms	0mins
224.45.250.191	50501	NU	Socks5	Elite(HIA)		Slow	80%	0ms	FALSE	2ms	0mins
38.132.184.64	31679	LR	Socks4	Anonymous(ANM)		Medium	91%	0ms	FALSE	88ms	0mins
